CTPS Code,CTPS Name,Customer Code,Domestic/International
010035,AMERICAN METALS COMPANY,500275,DOMESTIC
010303,COCA COLA NASHVILLE,41099,DOMESTIC
010036,AMERICAS GUADALAJARA,485950,INTERNATIONAL
010770,OMNILIFE MANUFACTURA,497264,INTERNATIONAL
010037,AMERICAS MEOQUI,518521,INTERNATIONAL
010278,COCA COLA CLEVELAND,509000,DOMESTIC
010278,COCA COLA CLEVELAND,32571,DOMESTIC
010038,AMERICAS MONTERREY,485634,INTERNATIONAL
010315,COCA COLA ST CLOUD,497707,DOMESTIC
010315,COCA COLA ST CLOUD,545924,DOMESTIC
010039,AMERICAS ORIZABA,497897,INTERNATIONAL
010283,COCA COLA EAGAN,512735,DOMESTIC
010283,COCA COLA EAGAN,497117,DOMESTIC
010041,AMERICAS TOLUCA,504356,INTERNATIONAL
010795,PEPSI BURNSVILLE,74456,DOMESTIC
010042,ARIZONA BEVERAGE/AMERIPEC,493950,
010042,ARIZONA BEVERAGE/AMERIPEC,499446,
010816,PEPSI ST LAURENT,39685,DOMESTIC
010694,MOBILE CANNING DOWNINGTON,529852,DOMESTIC
010694,MOBILE CANNING DOWNINGTON,522933,DOMESTIC
010694,MOBILE CANNING DOWNINGTON,543726,DOMESTIC
010043,AMSTERDAM BREWERY,511370,DOMESTIC
010685,MILLERCOORS FT WORTH,37111,DOMESTIC
010044,ANCHOR BREWING SAN FRANCISCO,524429,DOMESTIC
010044,ANCHOR BREWING SAN FRANCISCO,343206,DOMESTIC
010270,COCA COLA BISMARK,497723,DOMESTIC
010270,COCA COLA BISMARK,545983,DOMESTIC
010301,COCA COLA MOORESTOWN,513931,DOMESTIC
010301,COCA COLA MOORESTOWN,512292,DOMESTIC
010045,ANDERSON CRAFT ALES,488245,DOMESTIC
010045,ANDERSON CRAFT ALES,533229,DOMESTIC
010186,BROWNING HARVEY,30111,DOMESTIC
010286,COCA COLA ELMSFORD,513949,DOMESTIC
010286,COCA COLA ELMSFORD,553289,DOMESTIC
010286,COCA COLA ELMSFORD,32555,DOMESTIC
010046,ANDERSON VALLEY ACQUISITION BOONVILLE,462766,DOMESTIC
010182,BROOKLYN BOTTLING,547129,DOMESTIC
010182,BROOKLYN BOTTLING,48215,DOMESTIC
010182,BROOKLYN BOTTLING,32150,DOMESTIC
010182,BROOKLYN BOTTLING,558266,DOMESTIC
010182,BROOKLYN BOTTLING,554898,DOMESTIC
010047,ANDREW PELLER,552374,DOMESTIC
010204,CAMPBELL NAPOLEON,30630,DOMESTIC
010204,CAMPBELL NAPOLEON,30648,DOMESTIC
010048,ANGEL CITY BREWERY,541528,DOMESTIC
010277,COCA COLA CINCINNATI,499083,DOMESTIC
010049,ANSA MCAL TRADING MIAMI,31190,DOMESTIC
010305,COCA COLA OKLAHOMA CITY,527161,DOMESTIC
010305,COCA COLA OKLAHOMA CITY,34825,DOMESTIC
010050,APPALACHIAN FOREST HERBS,522888,DOMESTIC
010961,SLEEMAN GUELPH,38560,DOMESTIC
010051,ARCHER ROOSE NAPLES,531821,DOMESTIC
010287,COCA COLA FORT WORTH,506036,DOMESTIC
010052,ARCHIBALD RUE NOLIN,491090,DOMESTIC
010320,COCA COLA WESTON,540226,DOMESTIC
010320,COCA COLA WESTON,42286,DOMESTIC
010320,COCA COLA WESTON,540197,DOMESTIC
010320,COCA COLA WESTON,34972,DOMESTIC
010055,ARISTOS,534230,DOMESTIC
010606,LABATT LA SALLE,35801,DOMESTIC
010606,LABATT LA SALLE,49453,DOMESTIC
010606,LABATT LA SALLE,586081,DOMESTIC
010606,LABATT LA SALLE,551179,DOMESTIC
010056,ARIZONA BEVERAGE LA JUGUERA,547137,INTERNATIONAL
010294,COCA COLA LACHINE,540171,DOMESTIC
010294,COCA COLA LACHINE,32441,DOMESTIC
010057,ARIZONA BEVERAGE MEXICALI,523282,INTERNATIONAL
010257,CITY BREWING LATROBE,32221,DOMESTIC
010257,CITY BREWING LATROBE,229497,DOMESTIC
010257,CITY BREWING LATROBE,211895,DOMESTIC
010257,CITY BREWING LATROBE,59416,DOMESTIC
010257,CITY BREWING LATROBE,498339,DOMESTIC
010058,ARIZONA BEVERAGE TULPETLAC,523291,INTERNATIONAL
010058,ARIZONA BEVERAGE TULPETLAC,498312,INTERNATIONAL
011137,YUENGLING POTTSVILLE,39491,DOMESTIC
011137,YUENGLING POTTSVILLE,39511,DOMESTIC
010225,CAYMAN ISLANDS BREWERY,31376,INTERNATIONAL
010059,ARROWHEAD BREWING,453667,DOMESTIC
010602,LA CONSTANCIA LIMITADA,524314,INTERNATIONAL
010060,ARTERRA WINES NIAGARA,542264,DOMESTIC
010060,ARTERRA WINES NIAGARA,572682,DOMESTIC
010060,ARTERRA WINES NIAGARA,572691,DOMESTIC
010269,COCA COLA BELLVUE,503994,DOMESTIC
010269,COCA COLA BELLVUE,543451,DOMESTIC
010269,COCA COLA BELLVUE,497125,DOMESTIC
010275,COCA COLA CHATTANOOGA,503863,DOMESTIC
010275,COCA COLA CHATTANOOGA,38674,DOMESTIC
010285,COCA COLA EL PASO,506044,DOMESTIC
010061,ARTERRA WINES OLIVER,537238,DOMESTIC
010291,COCA COLA HOUSTON,505973,DOMESTIC
010291,COCA COLA HOUSTON,573984,DOMESTIC
010062,ARTERRA WINES OSOYOOS,546863,DOMESTIC
010311,COCA COLA SALT LAKE CITY,32467,DOMESTIC
